likes,dislikes,comment_count,
8368,74,648,0
6043,303,1914,0
5789,348,373,0
2063,254,390,0
9848,462,3133,0
9586,75,2800,0
8406,134,690,0
14621,293,966,0
7577,160,1026,0
4148,200,728,0
1791,125,285,0
3816,193,1639,0
9064,148,381,0
4151,280,633,0
7449,72,1248,0
1256,199,76,0
2317,249,1203,0
3427,92,344,0
9798,85,610,0
383,85,0,0
1001,86,611,0
2407,163,122,0
2571,41,146,0
441,233,229,0
2714,83,139,0
15750,164,923,0
5347,73,601,0
4438,45,297,0
252,398,343,0
2162,47,207,0
4014,126,319,0
10777,112,1067,0
2625,36,429,0
5023,314,1086,0
1258,200,77,0
1606,156,210,0
1811,57,448,0
6767,75,403,0
3383,173,140,0
6258,258,441,0
6868,78,1368,0
4777,129,1091,0
7968,351,578,0
649,147,417,0
4211,104,514,0
2899,29,211,0
4052,534,1147,0
5862,126,304,0
1598,139,585,0
2326,91,96,0
8365,93,611,0
7066,72,360,0
3824,201,287,0
4945,119,407,0
1261,201,78,0
4304,161,602,0
2583,42,146,0
16504,90,1210,0
3889,200,422,0
2373,274,460,0
386,85,0,0
2788,1424,368,0
1073,67,87,0
6934,98,886,0
9703,242,1167,0
6108,74,463,0
4755,81,611,0
3983,451,485,0
5630,119,328,0
4814,195,444,0
9627,50,791,0
1011,113,465,0
253,400,343,0
1566,60,150,0
1929,244,198,0
3834,137,601,0
8619,104,481,0
4194,137,491,0
2321,749,536,0
858,229,534,0
2866,231,555,0
7943,145,851,0
4294,105,513,0
5248,242,527,0
8858,87,413,0
8796,124,796,0
1262,201,78,0
7401,63,1076,0
9067,97,1597,0
647,51,56,0
1929,108,161,0
1810,4392,5192,0
3985,79,292,0
1304,51,214,0
4056,67,197,0
16471,66,1283,0
3014,111,267,0
257,400,343,0
388,87,0,0
6108,40,398,0
611,239,279,0
6276,88,354,0
3598,165,362,0
13557,135,950,0
436,12,0,0
1253,134,413,0
3823,294,404,0
6883,700,571,0
363,83,69,0
7841,99,472,0
827,247,101,0
4332,75,658,0
2358,256,982,0
0,0,0,0
4142,136,326,0
2587,307,986,0
20668,102,2591,0
2038,58,416,0
4726,60,361,0
2286,137,225,0
1250,103,120,0
1078,67,89,0
2613,43,147,0
6001,80,550,0
4868,106,810,0
4486,57,540,0
1785,44,178,0
2029,413,482,0
391,87,0,0
2454,45,65,0
3082,111,320,0
1074,270,320,0
10079,480,3184,0
9763,511,1434,0
1275,22,95,0
8535,76,673,0
5625,73,337,0
1934,108,161,0
3047,48,149,0
336,99,72,0
14461,74,1468,0
13367,104,4295,0
4164,137,329,0
1646,158,211,0
5085,275,283,0
2112,3224,4876,0
4586,89,501,0
605,527,939,0
16647,61,2685,0
5741,50,615,0
393,88,0,0
428,48,88,0
3366,125,216,0
1814,93,633,0
1434,174,1027,0
4316,278,759,0
5645,238,474,0
9886,85,615,0
1576,63,147,0
2094,263,388,0
5521,284,596,0
1268,117,200,0
6639,73,550,0
16042,166,916,0
6444,91,388,0
4186,137,332,0
1945,109,162,0
2315,513,1302,0
1762,73,194,0
7893,123,438,0
2929,50,223,0
1080,272,320,0
8203,60,1241,0
254,8,17,0
1162,328,308,0
5166,875,1112,0
6597,716,2201,0
837,248,100,0
5299,84,331,0
3008,39,114,0
10511,230,907,0
7328,335,960,0
1911,895,1049,0
2396,259,992,0
2376,38,492,0
9033,224,1346,0
2172,29,201,0
1853,57,444,0
1131,92,642,0
1700,52,538,0
2896,210,594,0
10207,484,3201,0
6154,41,401,0
4212,137,331,0
2833,1448,345,0
14502,95,1268,0
3721,1650,1070,0
1060,42,377,0
2680,36,434,0
1878,105,251,0
4071,457,507,0
3086,53,266,0
5374,71,537,0
1951,110,162,0
2744,74,184,0
3556,1157,876,0
989,27,118,0
10988,115,1074,0
9252,100,1620,0
1685,161,197,0
2265,114,185,0
4232,137,333,0
661,36,82,0
3079,113,270,0
3893,196,1672,0
654,7,101,0
3988,471,319,0
19840,72,1150,0
6170,99,497,0
6095,61,731,0
6464,110,287,0
2442,290,299,0
4254,138,344,0
3341,268,426,0
2567,130,582,0
11946,485,2226,0
2901,210,595,0
5113,278,282,0
2408,260,1009,0
1501,44,234,0
3173,107,224,0
7081,103,893,0
328,27,22,0
4544,58,540,0
4436,227,708,0
841,250,100,0
4753,68,192,0
2149,23,62,0
1371,692,628,0
3649,59,409,0
11241,116,782,0
5022,96,123,0
7185,105,1080,0
4377,163,625,0
6456,118,376,0
6310,298,1624,0
3028,64,470,0
6794,114,330,0
3997,204,431,0
3257,84,130,0
2118,95,0,0
4370,348,410,0
3353,485,4155,0
3451,179,184,0
16237,168,926,0
6296,58,597,0
2908,210,595,0
9202,48,735,0
1643,64,218,0
5723,55,263,0
5977,258,594,0
3912,298,403,0
4518,151,605,0
3962,147,478,0
17594,74,4965,0
5808,327,849,0
5388,178,303,0
1930,220,85,0
7833,37,912,0
6200,41,401,0
1635,214,478,0
224,153,380,0
4840,79,362,0
805,529,172,0
4393,76,668,0
359,564,736,0
3601,149,400,0
8785,547,743,0
6336,84,464,0
5816,177,674,0
5730,78,342,0
1529,37,118,0
2421,263,1018,0
4462,24,365,0
2859,1463,345,0
1643,100,198,0
17665,89,1235,0
9990,89,619,0
1294,118,202,0
5135,281,282,0
4258,551,1218,0
3583,283,345,0
4136,463,519,0
14291,34,1655,0
4425,151,519,0
6523,96,1417,0
1891,57,447,0
9365,100,1643,0
7354,79,584,0
4106,89,295,0
5330,4472,3153,0
2125,276,408,0
1417,101,360,0
212,44,63,0
11135,118,1082,0
2734,38,439,0
9973,264,1237,0
6098,133,315,0
4958,203,447,0
8194,902,1507,0
4596,60,543,0
5656,291,594,0
6042,119,713,0
5476,132,667,0
11642,147,1324,0
3036,64,474,0
5122,126,824,0
8520,108,1649,0
670,7,103,0
3655,46,142,0
3172,48,152,0
11092,112,896,0
3019,143,448,0
11653,175,861,0
1123,77,301,0
4868,61,379,0
3939,147,229,0
8243,151,450,0
5933,50,640,0
16368,171,934,0
3075,71,77,0
